text	class
- Сынок, если ты съешь еще один кусок торта, ты лопнешь!- Дай мне торт и отойди подальше.	другой
Не все, что жизнь может выкинуть, следует подбирать.	другой
Я вчера ее так ждал, что если она не придет сегодня, то завтра я ее убью.	бытовой
Я вчера ее так ждал, что если она не придет сегодня, то завтра я ее убью.	другой
В любовном треугольнике один угол - общего пользования.	пошлый
Если у тебя прекрасная жена, обалденная любовница, крутая тачка, нет проблем с властями и налоговыми службами, а когда ты выходишь на улицу всегда светит солнце и прохожие тебе улыбаются - скажи нет наркотикам!	другой
Если у тебя прекрасная жена, обалденная любовница, крутая тачка, нет проблем с властями и налоговыми службами, а когда ты выходишь на улицу всегда светит солнце и прохожие тебе улыбаются - скажи нет наркотикам!	бытовой
Инженер советской закалки, чтобы решить неразрешимую задачу, прибегнет к водке и синей изоленте. А его британский коллега возьмет скотч и скотч.	другой
Если по утрам вам не нравится, как вы выглядите, то перестаньте по вечерам делать то, что вам нравится...	бытовой
- Я у вас вчера лампочку энергосберегающую покупал.- Да-да, помню, как же.- Так вот, принес я ее домой, ввернул в плафон - а она не горит!- А вы что хотели? Она же энергосберегающая, вот энергию и бережет.	бытовой
Продам папку с фотографиями.Папка - мой. Фотографии - мамкины.	бытовой
- Как у вас женщин все сложно.- Не сложно! У нас просто все не просто.- И я о том. Вам все усложнить - проще простого.	бытовой
Никогда не связывайтесь с малолетками! Они - как глянцевый журнал... Обложка красивая, а открываешь - статья, статья, статья...	пошлый
- Продаются ли у вас такие спички, чтобы головка была с другой стороны?Ответ продавца:- Таких не держим.Ответ еврейского продавца:- Сейчас посмотрю. На верхней полке завалялась, кажется, одна коробка...	бытовой
- Продаются ли у вас такие спички, чтобы головка была с другой стороны?Ответ продавца:- Таких не держим.Ответ еврейского продавца:- Сейчас посмотрю. На верхней полке завалялась, кажется, одна коробка...	политический
Порой так сильно устаю за день, что даже когда сплю, во сне мне хочется спать.	бытовой
Порой так сильно устаю за день, что даже когда сплю, во сне мне хочется спать.	другой
"- Ну что у вас, студент?- Коньяк.- Ооо... Коньяк это хорошо!- Не-ет. Коньяк - это ""отлично""!"	бытовой
Запретили мат... Сборную России по футболу в Шереметьево встречала молчаливая толпа...	другой
Запретили мат... Сборную России по футболу в Шереметьево встречала молчаливая толпа...	бытовой
"Мужик заходит в ""Евросеть"" и обращается к продавщице:- Мне нужен мобильный телефон.- Модель?- Нет, сантехник, но все равно спасибо, вы тоже хорошенькая!"	бытовой
"Мужик заходит в ""Евросеть"" и обращается к продавщице:- Мне нужен мобильный телефон.- Модель?- Нет, сантехник, но все равно спасибо, вы тоже хорошенькая!"	другой
- Дорогая, этого супа надо было сварить литров тридцать.- Он тебе так понравился?- Нет, просто тогда он был бы не такой соленый.	бытовой
В женском отряде...- По порядку номеров рассчитайсь!- Первая!- Вторая!- Третья!- Четвертая!- Единственная...	бытовой
- Зачем ты по обеим сторонам смотришь? Здесь же одностороннее движение!- Чувак, это Россия, я бы еще и наверх посмотрел!	другой
С первого взгляда понял, что второй уже не нужен.	другой
- А почему у тебя в учебном классе все системные блоки под столами стоят?- А мне нравится наблюдать, как студентки USB-порт ищут.	пошлый
Женщина звонит сыну-студенту:- Сынок, как экзамены?- Мама, подорожали!	бытовой
Женщина звонит сыну-студенту:- Сынок, как экзамены?- Мама, подорожали!	другой
Женился сам, останови товарища.	бытовой
Экзаменов надо бояться, иначе они решают, что их не уважают, и не сдаются...	другой
Диалог двух приятелей:- Я своей жене из командировки презент привез.- А чего ты его там не использовал?	пошлый
Ругаются муж с женой. Он:- Люська, замолчи вообще! Ты как последняя пара обуви на витрине!- Че?- Сто человек попробовали, а я дурак взял...	бытовой
Певицу Насри не пустили в Россию из-за фамилии, призывающей к административным правонарушениям.	бытовой
Певицу Насри не пустили в Россию из-за фамилии, призывающей к административным правонарушениям.	политический
Певицу Насри не пустили в Россию из-за фамилии, призывающей к административным правонарушениям.	пошлый
Жена беседует с адвокатом:- Я в течение десяти лет каждую субботу намыливаю мужу спину...- Разве это причина для развода?- Но в прошлую субботу его спина была совершенно чистой.	бытовой
- Куда эти люди девают энергию, сэкономленную на невключенных поворотниках?- Тратят на аварийку, когда стоят там, где нельзя.	бытовой
- А давай устроим праздник! Ты все приготовишь...- А ты?- А я - приду!	бытовой
Благодаря капчам я научился читать медицинские рецепты.	бытовой
Людоед поймал двоих и притащил к себе в пещеру. Мрачно посмотрев на них, сказал:- На первое-второе рассчитайсь!	другой
Первоклашку ведут на Первый звонок:- Одиннадцать лет! За что!	другой
Двое заключенных встречаются в тюремной камере. Один спрашивает:- Тебе сколько дали?- 15 лет. А тебе?- 10 лет.- Ну тогда бери нары около дверей, тебе скорей выходить.	другой
Двое заключенных встречаются в тюремной камере. Один спрашивает:- Тебе сколько дали?- 15 лет. А тебе?- 10 лет.- Ну тогда бери нары около дверей, тебе скорей выходить.	бытовой
Какая разница между госслужащими и сперматозоидами? И те, и другие приходят на работу тысячами, но лишь одному из них приходится за всех горбатиться.	бытовой
- Не знаю, что делать. Тараканы замучали. Всюду шастают - покоя нет.- А ты купи мелок для тараканов.- А что, помогает?- Конечно. Видишь - сидят в углу, рисуют...	бытовой
Мужчинам старше 80 лет не рекомендуется смотреть эротику.Особенно в исполнении ровесниц.	пошлый
Кошка иногда страшнее тигра. Тигры где-то там, далеко, а кошка - она вот рядом. И ее надо мыть.	бытовой
"На приеме у гинеколога на вопрос ""Как я предохраняюсь"" ответила: ""Отсутствием партнера""... Врач поржала и отпустила с миром."	пошлый
- Папа, дай мне 200 рублей, - говорит сын.- А мне - 500, - просит дочь.- А мне нужно 2000, - добавляет жена.- Да что с вами сегодня случилось? - удивляется отец.- Ты забыл? У тебя завтра 23 февраля!	бытовой
- Мы с парнями на днях к себе в общагу девушку пригласили: ну выпили мы шампанского, пива... потом потр@хались... потом одного послали за коньяком, водкой... опять потр@хались...- Бедная девушка!- Какая девушка?- Ну, которую вы пригласили к себе.- Да она не пришла...	пошлый
На пешеходном переходе автомобиль сбил пешехода.Выскакивает водитель, наклоняется к потерпевшему и говорит:- Вам повезло, я врач.Тот поднимает голову и отвечает:- А вам нет, я адвокат!	бытовой
Деньги не приносят счастье, зато позволяют обставить несчастье с наибольшим комфортом.	бытовой
Женщины. Помните. Вы не прачки, не посудомойки, не кухарки, не уборщицы. Вы - ангелы чистоты. Жрицы порядка. Богини уюта. Дом - это ваш храм. Вам просто не объяснили.	бытовой
Путин рассказал Оливеру Стоуну, как впервые встал на коньки в 60 лет, но лично меня больше интересует, в каком возрасте он их отбросит.	политический
Отец маленького Кости приватизировал пансионат на берегу моря. Учитель спрашивает на уроке Костю, сколько существует времен года.- Пять, - отвечает Костя.- Сколько? - удивляется учитель.- Весна, лето, осень, зима и мертвый сезон.	бытовой
Женщина заходит в аптеку, спрашивает:- Подскажите, что лучше для мужа взять валидол или валерьянку?- А диагноз какой?- Туфли за 30 тысяч...	бытовой
Парень говорит девушке:- Пойдем ко мне, я тебе фокус покажу.- А какой?- Какой-какой! Я тебя тр@хну, а потом ты исчезнешь.	пошлый
Сила мира, брат, в экзистенции параноидального тетраграмматона!	другой
- Почему молчит Вселенная?- А где ты видел, чтобы нормальные ихтиологи с рыбами разговаривали?	другой
Парень завалил девушку, залез на нее и говорит:- Ну, что, я вхожу?- Нет, блин, сначала постучись!	пошлый
Этим летом решил заняться недвижимостью!Лежу и не двигаюсь.	бытовой
Спортивный комментатор берет интервью у нашего лыжника, только что сошедшего с дистанции:- Вы конечно не победили, но скажите, вам понравилась сама гонка?- Самогонка понравилась, поэтому и не победили.	бытовой
Приходит очень стеснительный мужик к венерологу:- Доктор, у моего лучшего друга есть подозрение, что он заболел венерическим заболеванием...Доктор:- Ну что же, снимай штаны, показывай своего друга!	пошлый
Если человек сильно жаждет справедливости, то его следует напоить пивом и подождать. Вполне вероятно, что его жажда сойдет на нет.	бытовой
Математический закон.Бутылка на троих является условием необходимым, но недостаточным.	бытовой
- Сережа, мы с тобой знакомы уже десять лет! Может, нам пора задуматься о браке?- Блин, Петрович, давно пора! У тебя же на выходе каждая пятая деталь бракованная!	другой
Первое место в сезоне на соревнованиях Формула I заняла формула С2H5ОH!	бытовой
Отец - сыну:- Ну, сынок, чем сегодня папу порадуешь?- Папа, все то, что тебя может порадовать, мы еще вчера с пацанами выпили!	бытовой
- Иван-царевич, ты куда?- В чисто поле... Пущу стрелу, как батя велел, и в чей двор она упадет, на той, стало быть, и женюсь.- А гранату к стреле зачем прикрутил?- Дык, не хочу я жениться, не хочу!	бытовой
"После того как обезьянам Московского зоопарка сделали вакцины, увеличивающие интеллект, - они отказались вступать в ""Народный фронт"" и готовятся к восстанию!"	политический
Удивительная вещь - экзамен. Одних он удивляет вопросами, других ответами.	другой
Я ей говорю: - Бери в рот и соси.А она кочевряжится: - Я не умею... Я не буду...Я опять спрашиваю: - Так сосать будешь?Она головой мотает.- И чо дальше было?- А чо дальше? Смотал шланг, закрыл бак и уехал. А то бензина дай, да еще и сам соси.	пошлый
Вот чем мне нравятся джинсы, так это тем, что в них можно месяц ползать по грязному полу, и никто не заметит. Все подумают, что это дизайн такой.	другой
Вот чем мне нравятся джинсы, так это тем, что в них можно месяц ползать по грязному полу, и никто не заметит. Все подумают, что это дизайн такой.	бытовой
В офисе сломался кондиционер. Вскоре все начали потеть и по комнате стал распространяться жуткий запах. Кто-то сказал:- Хм, у кого-то дезодорант не действует!Одна баба:- Тогда это точно не я! Я вообще дезодорантом не пользуюсь!	другой
В офисе сломался кондиционер. Вскоре все начали потеть и по комнате стал распространяться жуткий запах. Кто-то сказал:- Хм, у кого-то дезодорант не действует!Одна баба:- Тогда это точно не я! Я вообще дезодорантом не пользуюсь!	бытовой
Почему блондинка вернула ершик для унитаза обратно в магазин?- По ее мнению туалетная бумага мягче!	пошлый
Почему блондинка вернула ершик для унитаза обратно в магазин?- По ее мнению туалетная бумага мягче!	другой
- Ну, и где та дрянь, которая мне на зиму посоветовала окна заклеить?- Что, теперь тепло?- Теперь темно!	бытовой
Мы настолько добрые, что всем плачущим детям на пляже затыкаем рот мороженным.	другой
- Доктор, у меня дергается глаз.- Это дискотека века.	другой
Посреди улицы разговаривают два одессита. К ним подходит третий. Долго молча слушает, затем резко разворачивается и, уходя, говорит: - Ой! Та не морочьте мне голову...	другой
- Ты почему на работу не пришел?- Я еб@нулся...- Ты давно еб@нулся, на работу почему не пришел?- Шеф, вы не дали мне договорить - нога сломана...	бытовой
- Алло! Это бюро интимных услуг по телефону?- Да... Я готова исполнить любое твое желание...- Люсь, я только хотел, чтобы ты по дороге с работы батон белого хлеба купила.	бытовой
- У ада и небес есть свои границы, защита, охрана, воины, ворота. Зачем им все это?- Людей боятся, вот и окопались как могли...	бытовой
"Если в своем почтовом ящике вы обнаружили письмо, в заголовке которого имеются слова ""повестка"" и ""военкомат"" - уничтожьте его не открывая. В нем содержится опасный вирус, который может лишить вас Интернета и компьютера на 2 года."	бытовой
- Она меня совсем не замечает!- Займи у нее много денег и не отдавай, она и будет думать только о тебе!	бытовой
- Она меня совсем не замечает!- Займи у нее много денег и не отдавай, она и будет думать только о тебе!	другой
Минздрав рекомендует воздержаться от объятий и поцелуев и, по возможности, держать друг от друга дистанцию. Семейные пары просто могут все оставить, как есть.	бытовой
"Хрюшу давно пора убирать из ""Спокойной ночи"". Ведь нас смотрят и мусульмане..."	другой
"Хрюшу давно пора убирать из ""Спокойной ночи"". Ведь нас смотрят и мусульмане..."	политический
Странное дело: быть одиноким - плохо, а жить одному - оху@нно!	другой
Делаю первые робкие шаги в бизнесе. Собрал контрольный пакет... пакетов.	другой
Если вы ссоритесь, а потом миритесь и уже не помните, из-за чего ругались - это и есть любовь. Хотя, хрен знает, склероз начинается так же.	бытовой
В армии.- Рядовой Веркопуло, с чего надо начинать чистку автомата?- С проверки серийного номера, товарищ сержант!- Это еще почему?- Дык как же! На кой черт мне надо чужой автомат чистить?	бытовой
В армии.- Рядовой Веркопуло, с чего надо начинать чистку автомата?- С проверки серийного номера, товарищ сержант!- Это еще почему?- Дык как же! На кой черт мне надо чужой автомат чистить?	другой
Девушка стучится в двери богатого дома:- Здравствуйте, а вам няня не нужна?- Вы знаете, а у нас совсем нет детей.- Да ничего страшного, они у меня с собой.	другой
Девушка стучится в двери богатого дома:- Здравствуйте, а вам няня не нужна?- Вы знаете, а у нас совсем нет детей.- Да ничего страшного, они у меня с собой.	бытовой
Зачем вам современная медицина, генная инженерия и нанолекарства, когда можно просто прыгнуть в ледяную воду и три раза перекреститься?	бытовой
- Почему чиновники готовы швырять деньги направо и налево? - Потому что они их не зарабатывали...	политический
"Надо читать философию в юности, когда впечатлителен, а сейчас многие труды философов воспринимаются как ""Ох, да что ты, блядь, говоришь!""."	пошлый
"Надо читать философию в юности, когда впечатлителен, а сейчас многие труды философов воспринимаются как ""Ох, да что ты, блядь, говоришь!""."	бытовой
"Надо читать философию в юности, когда впечатлителен, а сейчас многие труды философов воспринимаются как ""Ох, да что ты, блядь, говоришь!""."	другой
Брак - это единственная из известных форм наказаний, связанных с лишением свободы, отбывая которое за примерное поведение срок не скашивают, а добавляют.	бытовой
Скажите, Зяма, а Вы Пауло Коэльо читали?- Нет...- Вот Вы Лох!- А Вы?!- А я первый спросил!	другой
В газ, поставляемый на Украину, будет добавлена специальная присадка, расцвечивающая пламя в цвета георгиевской ленты.	политический
- Тут есть две большие ягоды, хочешь маленькую?	другой
Мальчик, нечаянно чихнувший на iPad, запустил сразу все приложения.	другой
Наряду с палкой-копалкой, большую роль в развитии человечества сыграла палка-отбиралка - один из первых механизмов перераспределения общественных благ.	другой
Полстраны дома сидит, а вторая половина их охраняет.	политический
- Как зовут вашего кота?- Днем или в 5 утра?	бытовой
- Доктор, три месяца назад вы нашли у меня ревматизм и сказали избегать сырости.- И с чем вы на этот раз?- Можно ли мне хотя бы на Новый год помыться.	бытовой
"Узбекистан, магазин игрушек. На витрине игрушка зебры, внизу ценник ""ишак-матрос""."	политический
Басаев Масхадову: Знаешь, а за мою голову назначили выкуп.Масхадов: Угу! Я даже знаю, кто его получит!	другой
Басаев Масхадову: Знаешь, а за мою голову назначили выкуп.Масхадов: Угу! Я даже знаю, кто его получит!	политический
Жены олигархов ужинают в ресторане. Одна говорит другой:- А мне мой вчера школьную форму подарил. Не знаю, что и думать.- А что тут думать-то? Конечно, доучись!	пошлый
Жены олигархов ужинают в ресторане. Одна говорит другой:- А мне мой вчера школьную форму подарил. Не знаю, что и думать.- А что тут думать-то? Конечно, доучись!	другой
Наша власть очень много делает для простых людей.Например, пополняет их словарный запас новыми глаголами типа: съединоросил, спутиниздил, отмедведил, наечурил, заефурсил, нургапшикнул, разсердючил, снабиуллил и объеголил.	политический
Что-то в этом году весна не удалась, и судя по нашим СМИ виноваты в этом проклятые империалисты с запада...	политический
На пикнике:- Да нет, любимая, трава вовсе не сырая. Просто ты села на картофельный салат под майонезом.	бытовой
"Не знаю, что хуже?! Когда девушка написала: ""Может нам стоит расстаться?"" или когда следом от нее же приходит: ""Ой, это не тебе!""?"	бытовой
На учениях по стрельбе солдат Иванов промахнулся, солдат Петров промахнулся, а солдат Рабинович попал в цель. Командир обращается к строю:- Берите пример с Рабиновича - плохой солдат, а старается!	политический
- Ну что, помогло тебе колдовство?- Да! Просто ужас! Муж вернулся!- Так почему ужас?- Так не нынешний муж, а первый, умерший!	бытовой
"В первоначальном варианте басни Крылова просравшая все эуропейка Стрекозюк пришла к хозяйственному и домовитому Муравьеву поклянчить помощи, но услышала: ""Так пойди же поскачи!""."	политический
Пьяный фермер избил свинью молотком. Он думал, что это копилка.	бытовой
- Мама, давай назовем нашего котенка Изей!- Что ты, сыночек, это же человеческое имя. Мы назовем его Васей!	другой
Наглость - это когда тебя добавляют в друзья, чтобы поиграть в фермера!	бытовой
Самое прекрасное в природе - это отсутствие человека.	другой
Завести мужчину не сложно - сложно вывести...	бытовой
Не шути - согнем!	другой
- Виктор Андреевич, после твоей инаугурации хочу поехать за границу.- Так езжайте, Леонид Данилович, только надо посидеть на дорожку.	политический
"Хорошо хохлам: из двух извечных вопросов - ""Что делать?"" и ""Кто виноват?"" - по крайней мере на второй они уже для себя ответили."	политический
Колобок закатился на арбузное поле и подумал, что это митинг зеленых...	политический
Мужики, запомните. Опасно совать палец в обручальное кольцо...	бытовой
Сотрудник крематория нечаянно чихнул - и теперь не знает, кто где...	другой
Первым хакером в истории, по всей видимости, был Парис, который как-то узнал об уязвимости пятки Ахилла, и пустил ему туда стрелу в качестве эксплойта.	другой
Прапорщик пытается натянуть ботинок на ногу. Не получается.Рядовой советует:- Товарищ прапорщик, Вы бы язычок-то вытащили.- Вот спасибо, - отвечает прапорщик и высовывает язык.	бытовой
Прапорщик пытается натянуть ботинок на ногу. Не получается.Рядовой советует:- Товарищ прапорщик, Вы бы язычок-то вытащили.- Вот спасибо, - отвечает прапорщик и высовывает язык.	другой
В честь Дня Всех Влюблённых начальство дарит подчиненным вазелинки!	пошлый
Летит ворона, напившаяся в ноль. Вдруг в дерево - бац! Падает вниз:- Подумаефь, упаду - пефком пойду.	другой
Детский сад на прогулке по лесу. Воспитательница:- Дети, если кушаем ягодки, то срываем по две: одну ешьте, а другую для судмедэкспертизы.	бытовой
Чтобы убедиться, что Дед Мороз настоящий, студенты мединститута поймали одного из них и вскрыли.	другой
- Почему у тебя сапоги разные?- Потому что продавцы в магазинах считают, что если они выставят один сапог, то его не украдут.	бытовой
Мой сосед ведет себя так, словно у меня нет дрели.	бытовой
О том, что скоро мы будем жить хорошо, мы слышим от тех, кто уже живет хорошо.	политический
Праздник в пионерском лагере! Компот забродил!	бытовой
Роза Марковна с Молдаванки так безвкусно одевалась, шо воры украли со двора только бельевую верёвку!	бытовой
1 апреля в ЗАГСе:- Невеста, у вас вся спина белая!	пошлый
1 апреля в ЗАГСе:- Невеста, у вас вся спина белая!	другой
- Извините, сдачи нет! Возьмите жвачкой с Микки Маусом!- Ты че? Я че, бл@, маленький что ли? Дай вон ту, с Терминатором!	бытовой
За организацию несанкционированного митинга А. Навальный был приговорен Басманным судом к 200 часам исправительных работ в виде чистки кроссовок Дмитрий Анатолича и покраски домика его уточки.	политический
Я не понимаю, почему люди боятся заходить в реку с крокодилами? От малярийных-то комаров больше народу гибнет.	другой
День дурака превратился в месяц дурака.	бытовой
Диалог моих родителей:- Ты забыл какой сегодня день? Сегодня 20 лет, как мы вместе!- Милая, ты как будто срок мотаешь, ей богу!	бытовой
- Рыбу ловят, сидя тихонечко на берегу, не издавая лишнего шума и не делая резких движений. А что ловят шумя, сопя, делая множество движений, крича, а под конец, иногда, даже орут?- Триппер.	другой
В войне главное не победа, главное в ней не участвовать.	другой
В войне главное не победа, главное в ней не участвовать.	политический
После того, как Байден спросил сколько лет ему суждено быть президентом США, кукушка так растерялась, что начала каркать.	политический
- Возвращаюсь домой пораньше, а на кухне что-то происходит, захожу - а там муж мой йогурт ест!- Лучше бы бабу тр@хал, было бы не так обидно...	бытовой
Ешьте больше чеснока! Это не помогает против коронавируса, но держит других на необходимом расстоянии.	бытовой
Если вы бегаете по утрам в парке, а об этом никто не знает, то это не считается.	другой
Пошел я как-то к соседям за сахаром, смотрю - не заперто. Открываю дверь, а там вокруг кровь, кишки, мозги... Потом смотрю - о, сахар!	бытовой
При цене нефти $10 за баррель средним классом в России будет считаться человек в обуви. В любой обуви.	политический
Судя по состоянию украинского бюджета, Янукович ворует до сих пор...	политический
Гагарин 9 марта родился, а 12 апреля уже в космос полетел. А ты все работу не можешь найти.	другой
Нельзя вечно откладывать проблему. Когда-нибудь все равно придется на нее плюнуть.	бытовой
На заметку: жене, нашедшей в вашем кармане презерватив, говорите, что его вы положили только для того, чтобы проверить, роется ли жена, в ваших карманах.	бытовой
На заметку: жене, нашедшей в вашем кармане презерватив, говорите, что его вы положили только для того, чтобы проверить, роется ли жена, в ваших карманах.	пошлый
Когда волк молчит, его лучше не перебивать.	другой
- Петя, где ты вчера был?- С папой корову к быку водили.- А что, папа сам не смог бы?- Смог, но бык лучше.	пошлый
Патриоты России сдирают с себя турецкий загар.	политический
Все ругают евреев, масонов. Знаете, что скажу? Мне ни один масон еще подъезд не обоссал.	бытовой
- Зяма, Вы побили Мойшу?- Я дал по морде этому негодяю, поскольку он спит с моей женой!- Зяма, Вы, такой интеллигентный, били по лицу другому человеку только за то, что у Вас с ним одинаковые вкусы?	пошлый
Утро не бывает добрым, поэтому я просыпаюсь днем.	бытовой
Он:- Я дал себе зарок, что если еще раз чем-то тебя расстрою, то буду отрубать себе по сантиметру члена каждый раз.Она:- Тебе, с@ка, лишь бы назло мне сделать!	пошлый
Мальчик-негр спрашивает у своей белой мамы:- Мама, а почему ты белая и все у нас в семье тоже белые, а я черный?- Ой, сынок, я как вспомню ту вечеринку... Скажи спасибо, что не гавкаешь!	пошлый
Студент хнычет:- Профессор, я не заслуживаю двойки!- Знаю, но более низких оценок у нас, к сожалению, нет!	другой
Как показывает практика, в любой другой день можно разыграть гораздо большее количество людей, чем первого апреля.	другой
Как показывает практика, в любой другой день можно разыграть гораздо большее количество людей, чем первого апреля.	бытовой
Аппетит приходит вовремя, а еду опять задерживают.	бытовой
"Из мемуаров: ""Я никогда не изменял ни жене, ни любовнице, ни другим своим женщинам""."	бытовой
- Ангел мой! Ты поговорила со своими родителями обо мне? Они согласны отдать тебя мне в жены?- Да, я сказала им все.- И как они?- Не знаю. Отец пока молчит, а мама ждет, пока он выскажется, чтобы выразить прямо противоположное мнение.	бытовой
