text,class
- Сколько человек здесь работает?- С бригадиром - десять.- А без бригадира?- Вообще никто не работает.,0
"А все вокруг такие невинные, такие правильные и хорошие, что складывается впечатление, что в аду гореть буду я один.",0
"- Официант, ваши музыканты играют на заказ?- За ваши деньги, все что угодно...- Вот деньги. Пускай пока я тут ужинаю, сыграют в карты.",0
"Ничто в доме не хранится столь трепетно, как ненужный хлам под названием ""вдруг пригодится?"".",0
"Женщина моется в общей ванной коммунальной квартиры, а сосед стал на табурет в коридоре и заглядывает через стеклянный верх двери. Она заметила и говорит:- Ну, чего уставился, голой бабы не видел?- Нужна ты мне! Я смотрю, чьим мылом ты моешься!",1
"Альтист целый месяц дирижировал оркестром вместо заболевшего дирижера. Когда дирижер выздоровел, альтист сел на свое место. Сосед его спрашивает:- Где ты пропадал столько времени, болел что ли?",0
"Женщинам приходится пудрить мозги, потому что естественную красоту женских мыслей мужчины не ценят.",0
"Ешьте больше чеснока! Это не помогает против коронавируса, но держит других на необходимом расстоянии.",0
"Все, с завтрашнего дня перестаю откладывать дела на завтра.",0
"- Чем оливье отличается от феминистки?- Несмотря на одинаковую жирность, для людей оливье все-таки полезнее.",1
"В первоначальном варианте басни Крылова просравшая все эуропейка Стрекозюк пришла к хозяйственному и домовитому Муравьеву поклянчить помощи, но услышала: ""Так пойди же поскачи!"".",2
"На литературном вечере молодая поэтесса от волнения произнесла первую строчку своего стихотворения быстро, без выражения.Больше она ничего произнести не смогла, так как зал лег.Стихотворение начиналось так: ""Отруби лихую голову"".",1
- Летом в России лучше всего жить в средней полосе. Осенью в России лучше всего жить на юге.- А зимой?- А зимой в России лучше всего жить не в России!,0
"Мой сосед ведет себя так, словно у меня нет дрели.",0
"В Риме Сцевола держал руку на огне, показывая стойкость духа, а в России люди целыми толпами остаются в помещении после пожарной тревоги.",2
"- У ада и небес есть свои границы, защита, охрана, воины, ворота. Зачем им все это?- Людей боятся, вот и окопались как могли...",0
"Мужчины обычно женятся на надеждах, женщины выходят замуж за обещания. Так как выполнить обещания гораздо легче, чем оправдать чужие надежды, то в жизни больше встречается разочарованных мужчин, чем обманутых женщин.",0
Паломники со всей страны дважды в год стекаются в медкомиссию военкомата номер 35 - каждую весну и осень здесь происходит чудо массового выздоровления.,0
"Бабушка успокаивает пятнадцатилетнюю внучку:- Подумаешь, прыщики у нее на лице! У некоторых они вон, вместо сисек...",1
Правду в глаза лучше говорить по телефону.,0
"- Придумайте рифму к слову ""мэр"".- Вор.",2
"Мальчик-негр спрашивает у своей белой мамы:- Мама, а почему ты белая и все у нас в семье тоже белые, а я черный?- Ой, сынок, я как вспомню ту вечеринку... Скажи спасибо, что не гавкаешь!",1
Ошибка подобна утопленнику: все равно всплывет на поверхность.,0
"Отец маленького Кости приватизировал пансионат на берегу моря. Учитель спрашивает на уроке Костю, сколько существует времен года.- Пять, - отвечает Костя.- Сколько? - удивляется учитель.- Весна, лето, осень, зима и мертвый сезон.",0
"Из мемуаров: ""Я никогда не изменял ни жене, ни любовнице, ни другим своим женщинам"".",0
"За нас с вами, и за хрен с ними!",0
Маленький Мика Хаккинен записался в секцию картинга.Отец его спрашивает:- Ну и чему вас учили на первой тренировке?- Обливаться шампанским.,0
"Директор фирмы наткнулся на объявление по продаже того же, чем торгует он сам, только дешевле и решил позвонить. И узнал голос сторожа со своего склада.",0
"Независимо от модели гаджета, у каждого гражданина РФ есть простой и быстрый доступ к камере.",2
- Почему у тебя такое кислое выражение лица?- Потому что мне нельзя ничего сладкого.,0
"Утверждение, что джентльменов не встретишь в наше время, несправедливо! Сегодня я, например, видела, как мужчина держал зонт над женой, пока та меняла колесо.",0
"Это была явно не русская женщина - выбегая из горящей избы, она попала под коня.",2
"Я проснулся в понедельник, чтобы во вторник пойти на работу, но в среду я узнал, что в четверг будет дождь, и тогда в пятницу я подумал: зачем идти работать в субботу, если в воскресенье выходной?",0
"Если человек сильно жаждет справедливости, то его следует напоить пивом и подождать. Вполне вероятно, что его жажда сойдет на нет.",0
Нельзя вечно откладывать проблему. Когда-нибудь все равно придется на нее плюнуть.,0
"О том, что скоро мы будем жить хорошо, мы слышим от тех, кто уже живет хорошо.",2
"Пьяный фермер избил свинью молотком. Он думал, что это копилка.",0
"Встретились новый русский и студент.Студент жалуется:- Денег мало, голодаю - последние 3 дня совсем ничего не ел!Новый русский:- Ну-у, брат, заставлять себя надо!",2
"- Дорогая, а что это за рыба плавает в ухе?- Тебе что, не нравится моя уха?- Успокойся, мне нравится. Мне не нравится, что эта рыба ее ест.",0
"- Вы знаете, вчера ваш Изя изнасиловал таки нашу Розочку!- Вчера!? В субботу!?",1
Спасение озабоченных - дело рук самих озабоченных.,1
Продам папку с фотографиями.Папка - мой. Фотографии - мамкины.,0
"Власти хотят сократить число бедных.Черт, мне страшно...",2
Сошлись как-то Илья Муромец и Соловей-разбойник.Но церковь была против этого брака...,1
- А давай устроим праздник! Ты все приготовишь...- А ты?- А я - приду!,0
"Вовочка - учительнице:- Марь Иванна, вот вы мне двойки ставите, а я вырасту, стану большим человеком и покажу вам.- Путин, не препирайся.",2
"Что-то не так с этими деньгами. Тратить их гораздо приятней, чем зарабатывать.",0
"Парень завалил девушку, залез на нее и говорит:- Ну, что, я вхожу?- Нет, блин, сначала постучись!",1
"Коронавирус был вынужден провести две недели на самоизоляции после того, как заразил Чака Норриса.",0
"- Внученька, в мои годы наркотики уже не нужны. Чтобы словить ""приход"", достаточно резко встать с дивана.",0
Христианство поставило крест на всех предыдущих религиях.,2
"Хорошо, что 24 июня выходной будет, а то страна устала от работы.",2
Подходит пьяный к милиционеру:- Товарищи милиционеры! Между вами можно пройти?- Да! Только по одному.,0
"Судя по состоянию украинского бюджета, Янукович ворует до сих пор...",2
"Я ей говорю: - Бери в рот и соси.А она кочевряжится: - Я не умею... Я не буду...Я опять спрашиваю: - Так сосать будешь?Она головой мотает.- И чо дальше было?- А чо дальше? Смотал шланг, закрыл бак и уехал. А то бензина дай, да еще и сам соси.",1
- Выходи за меня?- А что там... за тобой?,0
"Мужик заходит в ""Евросеть"" и обращается к продавщице:- Мне нужен мобильный телефон.- Модель?- Нет, сантехник, но все равно спасибо, вы тоже хорошенькая!",0
Каждая тупая овца мечтает о своем. Овечном...,0
"- Мы женаты всего два дня, а ты уже начинаешь на меня ругаться?- До тебя у меня было уже пять мужей, поэтому мне лучше знать, когда начинать ругаться!",0
"Математический закон.Бутылка на троих является условием необходимым, но недостаточным.",0
"- Интересно, почему офисные работники целыми днями сидят в мягких креслах, а геморроя нет?- Так ежедневный массаж у шефа!",1
Первое место в сезоне на соревнованиях Формула I заняла формула С2H5ОH!,0
Две школьницы на перемене:- Вчера Петрову минет в вестибюле делала.- Фигасе. Слово-то какое. Вестибюль.,1
"- Милый - может, мне прическу поменять, волосы назад зачесать?- Ты что - сдурела? Где волосы, а где зад?!",1
"Жена унижает мужа:- Я была глухая и слепая, когда выходила за тебя замуж!- Вот видишь, от каких болезний я тебя исцелил.",0
"И что это такое нарисовано на конадском флаге, что это пришлось прикрыть листиком?",1
"Заботливая бабушка к Новому году навязала внуку свитер, шерстяные носки, свою точку зрения и систему моральных ценностей.",0
"- Алло! Это бюро интимных услуг по телефону?- Да... Я готова исполнить любое твое желание...- Люсь, я только хотел, чтобы ты по дороге с работы батон белого хлеба купила.",0
"Ни дать, ни взять - ангина во время менструации.",1
"Одесский дворик. Две соседки переговариваются между балконами, этажом выше учится играть на скрипке еврейский мальчик.- Сара!- Шо?- В нашем доме немцы есть?- Нет, а шо?- А кому мстит этот мальчик?",2
"Заболела, пошла к врачу в поликлинику. Сижу в очереди - насморк, кашель... Вопрос бабульки: ""Зачем больная еще и сюда приперлась?"" поставил в тупик.",0
"На столе лежат две книги: тонкая и толстая. На тонкой написано: ""Логика"". На толстой: ""Женская логика. Том первый"".",0
"Не знаю, что хуже?! Когда девушка написала: ""Может нам стоит расстаться?"" или когда следом от нее же приходит: ""Ой, это не тебе!""?",0
"Плакат рекламы пластиковых окон сегодня на улице видел... Там изображена грустная бабка, смотрящая в окно и слоган рядом: ""Не грусти бабуль, вставим!"".",1
"Наша власть очень много делает для простых людей.Например, пополняет их словарный запас новыми глаголами типа: съединоросил, спутиниздил, отмедведил, наечурил, заефурсил, нургапшикнул, разсердючил, снабиуллил и объеголил.",2
"Интеллигентные люди - это те же самые люди, только они не умеют жить в дерьме.",0
"И было у старика Шумахера три сына: двое гонщиков, а третий - водитель маршрутки...",0
"- Милый - может, мне прическу поменять, волосы назад зачесать?- Ты что - сдурела? Где волосы, а где зад?!",0
"Я, конечно, понимаю, что скромность украшает, но назвать книгу, поступившую к нам на редактуру и повествующую об индивидуальном обучении бальным танцам, просто ""Я и бал"" - это верх скромности...",1
"- Официант, у меня в супе муха!- Не волнуйтесь, паук на хлебе ее обязательно поймает.",0
"Девушка стучится в двери богатого дома:- Здравствуйте, а вам няня не нужна?- Вы знаете, а у нас совсем нет детей.- Да ничего страшного, они у меня с собой.",0
"Выборы становятся демократичнее.Раньше, когда в бюллетене было всего три клетки, многие воспринимали это буквально и вписывали туда слово из трех букв.А восемь клеток дают гораздо больше возможностей выразить отношение к кандидатам.",2
"Из рапорта: ""Из лифта неожиданно выскочила собака и хозяйка, которая начала гавкать"".",0
Почему блондинка вернула ершик для унитаза обратно в магазин?- По ее мнению туалетная бумага мягче!,1
Чубайс стал спецпредставителем по связям с международными организациями. Тревожно за организации.,2
"Певицу Насри не пустили в Россию из-за фамилии, призывающей к административным правонарушениям.",0
"Два голубя сидят, один другого по голове тюк-тюк, второй взъерошился, но молчит, терпит... Муж наверное.",1
"- У нас админ странный, читает анекдоты за 2005 год, ржет и ставит минусы с возгласом ""Баян"".",0
"Укладываю спать четырехлетнего сына:- Спокойной ночи сынок! Тебе наверное уже сон про мишку и зайчика снится, да?Сынок, сонным голосом:- Пока еще нет, реклама идет...",0
"Соскучились по лету и морю? Поставьте вентилятор за кипящим чайником, направьте струю воздуха на себя и закройте глаза. А вопли жены сойдут за крики чаек.",0
"Блондинка Анжела никогда не пересекала двойную сплошную, потому что там две полоски.",1
"Пошел я как-то к соседям за сахаром, смотрю - не заперто. Открываю дверь, а там вокруг кровь, кишки, мозги... Потом смотрю - о, сахар!",0
"- Сержант Петров! Откройте свой бумажник!- Может, багажник?- Ах да, точно, всегда опережаю события!",0
"Секс очень похож на бег: у кого-то уверенный челночный бег, у кого-то марафон, у кого-то рекордная стометровка, у меня - освобождение от физры.",1
"Рабочий сорвался со строительных лесов. Его напарник кричит вслед:- Поднажми, Вася! За тобой кирпич летит!",0
"Бабушка с плохим зрением так любит кошек, что 3 дня отпаивала молоком выброшенную шапку.",0
Благодаря капчам я научился читать медицинские рецепты.,0
"Владелец микролитражки везет приятеля.- Скажи, а что это за каменная стена, вдоль которой мы едем?- Это не стена, это бордюр тротуара.",0
"До сих пор не могу понять, как обезболивающая таблетка понимает, где у меня болит?",0
"- А что будет, если я подберу пароль к твоему е-мейлу?- Схлопочешь по е-бейлу.",0
"Планшет был изобретен для того, чтобы люди, наконец, перестали сидеть в интернете, и начали в нем лежать.",0
"Он:- Я дал себе зарок, что если еще раз чем-то тебя расстрою, то буду отрубать себе по сантиметру члена каждый раз.Она:- Тебе, с@ка, лишь бы назло мне сделать!",1
"- Люди-то как за это время изменились: добрые стали, все улыбаются, здороваются со мной, машины дорогу уступают.- Так, Гоша - ты автомат-то чего в оружейку не сдал?",0
"Ничто так не указывает на материальность мысли, как эрекция.",1
"Врачи-психиатры обращаются к больным только на вы, потому что неизвестно сколько их там у каждого.",0
"Если по утрам вам не нравится, как вы выглядите, то перестаньте по вечерам делать то, что вам нравится...",0
"Садится в такси бабка с автоматом в руках. Обалдевший таксист:- Бабуля, а автомат то тебе зачем?- Так насилуют!- Старая, да кто же тебя насиловать то будет?Бабка передергивает затвор автомата и говорит:- Милок, да ты и будешь!",1
"- Запишите нас в НАТО.- Членом?- Да нет, можно и карандашом.",2
"Интересно, антипрививочники ставят антивирус на компьютер или они только своих детей ненавидят?",0
Запретили мат... Сборную России по футболу в Шереметьево встречала молчаливая толпа...,0
- Как заказывает проституток госчиновник?- Через тендер.,2
"Неудачные попытки заняться сексом индусы стали называть йогой, а удачные камасутрой...",1
- Слушай! Ты мне своими намеками уже все трусы порвал!,1
Когда я ем - я глух и нем.Когда я пью - я гораздо коммуникабельней.,0
"В стране, где каждый день Хеллоуин, бессмысленно отмечать его раз в году.",0
"В Киеве, разговор по телефону с мамой:- Ты в шапке?- Да, мама, не волнуйся: в шапке, в каске, с противогазом!",2
День дурака превратился в месяц дурака.,0
"Мужик на автомобиле врезался в дерево. Сидит с такими остекленевшими глазами.Подходит к нему ГАИшник и говорит:- Вот видишь, какой ты молодец: пристегнулся и сидишь в машине, а твоя подружка не пристегнулась и теперь вон на дороге с членом в зубах валяется...",1
"Грузин запустил руку в штаны и чешет там с удовольствием. Другой его спрашивает:- Што, дарагой, канец чешешь?- Нет, середину...",1
"- Дорогая, этого супа надо было сварить литров тридцать.- Он тебе так понравился?- Нет, просто тогда он был бы не такой соленый.",0
"Характер женщины должен быть не твердый, как скала, и не податливый, как тесто, а мягкий, но упругий, как женская грудь. А характер мужчины должен быть твердый, когда нужно, а в остальное время философски расслабленный.",1
"- Зяма, Вы побили Мойшу?- Я дал по морде этому негодяю, поскольку он спит с моей женой!- Зяма, Вы, такой интеллигентный, били по лицу другому человеку только за то, что у Вас с ним одинаковые вкусы?",1
"Однажды мне приснилось, что моя жена громко храпит. Просыпаюсь: ничего подобного - не женат!",0
"Прапорщик пытается натянуть ботинок на ногу. Не получается.Рядовой советует:- Товарищ прапорщик, Вы бы язычок-то вытащили.- Вот спасибо, - отвечает прапорщик и высовывает язык.",0
"На утро после брачной ночи, дочь подбегает к матери и говорит:- Мам, ты представляшь, у моего Сережки на члене бородавка - кайф такой.- А где доченька, снизу или сверху.- Сверху.- Эх, еще бы одну снизу и две по бокам.Отец, сидя и читая газету:- Вам, бл@дям, волю дай, так вы из х@я кукурузный початок сделаете!",1
"Как определить границы Российской Федерации?Наша страна кончается там, где начинаются нормальные дороги!",2
"Мужчины - проблемы лишь для глупых женщин, для умных же они - решение проблем.",0
"Надпись в маршрутке: ""Тише скажешь - дальше выйдешь!"".",0
"- В рамках борьбы с пылевыми клещами перевернули спальный матрас. Представляешь, теперь у тех клещей наступила ночь, а у этих - день...",0
"Собрался было бегать по утрам, на восходе солнца. Остановило то, что магазины еще закрыты.",0
"- Как вы посмели ударить полицейского?- Да это же мой одноклассник!- Это не имеет значения. К должностному лицу следует относиться уважительно, даже если это ваш отец.",0
"На пешеходном переходе автомобиль сбил пешехода.Выскакивает водитель, наклоняется к потерпевшему и говорит:- Вам повезло, я врач.Тот поднимает голову и отвечает:- А вам нет, я адвокат!",0
"- Моня, тут в интернетах пишут, что в России заложили новый авианосец. Вы таки не знаете в какой ломбард?",2
"- А правда у вас в России настолько холодно, что вы Новый год два раза отмечаете?",2
"Зря говорят, что семечки, это как наркотик. Это как алкоголь - именно поэтому они тоже стаканами измеряются.",0
"Какая разница между госслужащими и сперматозоидами? И те, и другие приходят на работу тысячами, но лишь одному из них приходится за всех горбатиться.",0
"Кстати, напомню: по существующим законам, если секс продолжается более двух часов, вас обязаны кормить.",1
"Есть такая поговорка: ""Когда я ем, я глух и нем"". Я конечно понимаю, нем, потому что ешь... Но как надо так жрать чтобы уши закладывало?",0
"Умирает старый еврей. Слабым голосом спрашивает:- Моя жена рядом?- Да, мой дорогой.- А мои дети здесь?- Да, папочка.- Мои внуки здесь?- Да, дедушка!- Тогда почему на кухне свет горит?",0
"Отымел или нет Аладин принцессу Жасмин, становится понятно после того, как его имя прочитаешь наборот.",1
"После разгона гей-парада в столице, полицейские не досчитались восемнадцати резиновых дубинок.",1
"- Ну что, помогло тебе колдовство?- Да! Просто ужас! Муж вернулся!- Так почему ужас?- Так не нынешний муж, а первый, умерший!",0
"- Ты видел? Она мне улыбнулась...- Не переживай, я когда тебя увидел месяц ржал!",0
"Ругаются муж с женой. Он:- Люська, замолчи вообще! Ты как последняя пара обуви на витрине!- Че?- Сто человек попробовали, а я дурак взял...",0
"Деньги не приносят счастье, зато позволяют обставить несчастье с наибольшим комфортом.",0
"Ну поймите, если вы не будете содержать яхты Путина, Сечина, Дерипаски и Усманова, вам придется содержать Шестой американский флот! Это гораздо дешевле, но не патриотично.",2
"Женщины. Помните. Вы не прачки, не посудомойки, не кухарки, не уборщицы. Вы - ангелы чистоты. Жрицы порядка. Богини уюта. Дом - это ваш храм. Вам просто не объяснили.",0
"Может, стоит начать вести более спортивный образ жизни: ходить в спорт-бары вместо обычных.",0
"Не в деньгах счастье - человек, имеющий десять миллионов долларов, может быть ничуть не счастливее человека, имеющего девять.",0
"Не переживай, что у тебя тонкий член! Для какой-нибудь старой девы он может стать спасительной соломинкой.",1
Патриоты России сдирают с себя турецкий загар.,2
- Папа! Что такое диалог?- Это разговор двух людей.- Это так ты разговариваешь с мамой?- Нет - это монолог.,0
На МКС починили туалет. Космонавтам больше не придется выходить в открытый космос.,0
"Жена - мужу:- У меня никогда не было романов на стороне, а ты можешь сказать то же самое?Муж:- Да, Романов не было. Были Ани, Оли, Кати...",1
Нынешнее поколение в завещании будет оставлять логины и пароли от социальных сетей.,0
Самые-самые изобретения XX века: непромокаемый пакетик с чаем и фонарик на солнечных батарейках.,0
"""Ты должен"" - убивает эта фраза. То, что я должен, записано в налоговом кодексе, все, что не должен - в уголовном. Остальное - на мое усмотрение.",0
"Религия - как инсулин. Нельзя отнимать его у диабетиков, но нефиг подсаживать на него здоровых.",0
"- Это правда что вы машину в лотерею выиграли?- Правда. Только не машину, а квартиру. И не в лотерею, а в покер. И не выиграл, а проиграл.",0
"Прикольная сейчас мода у молодежи: голые щиколотки, а на шее плед. Он, видимо, нужен, чтобы впитывать сопли. Другого объяснения я не нашел.",0
"Спортивный комментатор берет интервью у нашего лыжника, только что сошедшего с дистанции:- Вы конечно не победили, но скажите, вам понравилась сама гонка?- Самогонка понравилась, поэтому и не победили.",0
"Я теперь понял, что такое раздельное питание. Это когда я ем отдельно и ты ешь отдельно.",0
"Парень говорит девушке:- Пойдем ко мне, я тебе фокус покажу.- А какой?- Какой-какой! Я тебя тр@хну, а потом ты исчезнешь.",1
"- Девушка, а что вы делаете в субботу вечером?- Позвоните в воскресенье. Я расскажу...",0
"- Милая, деньги в кармане пиджака. Возьми, сколько тебе надо.Жена, покопавшись по карманам:- Еще столько же надо!",0
"- Почему она все время спрашивает, как у меня на личном фронте?- Хочет на передовую...",1
"Новая книга Билла Гейтса: ""Майн комп"".",0
Вчера в городском парке города Мухосранска сексуальным маньяком была зверски проигнорирована пенсионерка Марья Ивановна Толстожопова.,1
"На заметку: жене, нашедшей в вашем кармане презерватив, говорите, что его вы положили только для того, чтобы проверить, роется ли жена, в ваших карманах.",1
"В кабинете у врача. Врач долго осматривает пациента, потом с глубокомысленным видом ставит диагноз:- Ну-с, голубчик, правое легкое надо удалять...- Но, доктор, оно же у меня не болит!- Надо, голубчик, надо. Иначе печень не поместится.",0
"- Что нового?- Сражаюсь с алкоголизмом!- Судя по всему, плечом к плечу?- Пока так.",0
"Моя жена о чем-то долго думала, что-то писала на бумажке, считала на калькуляторе, спрашивала у меня, сколько дней осталось до Нового года. А потом неожиданно спросила: ""А что ты мне подаришь на 8 Марта?"".",0
"- Мы с парнями на днях к себе в общагу девушку пригласили: ну выпили мы шампанского, пива... потом потр@хались... потом одного послали за коньяком, водкой... опять потр@хались...- Бедная девушка!- Какая девушка?- Ну, которую вы пригласили к себе.- Да она не пришла...",1
Портфель поработил пятиклассника Петю и каждый день ездит на нем в школу.,0
"Кто говорит, что дружбы народов не существует, тот не стоял в очереди в УФМС России.",2
"- Чтобы не переедать во время обеда, я за полчаса до обеда ем две тарелки пельменей.",0
"Какой же идиот мог догадаться в анкете на вопрос: ""самый старший чл@н семьи"" ответить - ""дедушкин""?!",1
"Знаете, почему Кубу называют островом свободы?По местному преданию именно на нем провел свои счастливейшие 28 лет до женитьбы Робинзон Крузо.",0
"- Что ты делаешь здесь, Михель?- Наблюдаю, откуда русские наступать будут.- А зачем тебе это знать?- Чтобы предупредить своих, в какую сторону бежать.",2
"""Почта России"" - это мы изобрели сухофрукты!",2
"Просьба к родителям: ""Делая детей, доделывайте их до конца"".",0
"- ""Скорую"" вызывали?- Да.- Выходите, машинка подъехала!",0
"Хорошо хохлам: из двух извечных вопросов - ""Что делать?"" и ""Кто виноват?"" - по крайней мере на второй они уже для себя ответили.",2
